,bbox,confidence,label,text,region,region_confidence,file_path
0,"[0, 606, 0, 295]","[0.999751627445221, 0.9999436140060425, 0.9999326467514038, 0.9999383687973022, 0.9999505281448364, 0.9999741315841675, 0.9999542236328125, 0.999998927116394, 0.9999991655349731, 0.9999994039535522]",License Plate,BDR529,United States,0.9952458739280701,lp_train_387
1,"[2, 107, 0, 31]","[0.9994557499885559, 0.9999573230743408, 0.9999815225601196, 0.9999620914459229, 0.9998593330383301, 0.9999185800552368, 0.9999518394470215, 0.9999227523803711, 0.9999978542327881, 0.9999996423721313]",License Plate,51A69172,Vietnam,0.9999997615814209,lp_train_2320
2,"[3, 48, 2, 11]","[0.5716859698295593, 0.9985594153404236, 0.9811334013938904, 0.9846991896629333, 0.6349327564239502, 0.8686081767082214, 0.8478883504867554, 0.8739360570907593, 0.9968922734260559, 0.9998499155044556]",License Plate,51A06131,Vietnam,0.999966025352478,lp_train_3388
3,NA,NA,NA,NA,NA,NA,lp_train_2287
4,NA,NA,NA,NA,NA,NA,lp_train_5568
5,"[3, 104, 5, 33]","[0.9999306201934814, 0.9998970031738281, 0.9999922513961792, 0.99994957447052, 0.9998094439506531, 0.999956488609314, 0.9998434782028198, 0.9999779462814331, 0.9999806880950928, 0.9999971389770508]",License Plate,29A23950,Vietnam,1.0,lp_train_1017
6,"[5, 124, 12, 74]","[0.9972209930419922, 0.9997442364692688, 0.9997679591178894, 0.9995610117912292, 0.9999091625213623, 0.9992215633392334, 0.9996013045310974, 0.9999834299087524, 0.9999942779541016, 0.9999960660934448]",License Plate,ICULAFN,United States,0.9955359697341919,lp_train_4831
7,NA,NA,NA,NA,NA,NA,lp_train_6632
8,NA,NA,NA,NA,NA,NA,lp_train_6098
9,NA,NA,NA,NA,NA,NA,lp_train_065
10,"[0, 89, 0, 21]","[0.9841032028198242, 0.9921443462371826, 0.9951415061950684, 0.9904829263687134, 0.5223305821418762, 0.9854787588119507, 0.9925341606140137, 0.9947604537010193, 0.9905484318733215, 0.9760904312133789]",License Plate,501D104411,Ireland,0.9637794494628906,lp_train_925
