,bbox,bbox_norm,confidence,label,text,region,region_confidence,file_name
0,NA,NA,NA,NA,NA,NA,NA,lp_train_001
1,NA,NA,NA,NA,NA,NA,NA,lp_train_001
2,"[6, 128, 5, 57]","[0.04580152671755725, 0.9770992366412213, 0.07936507936507936, 0.9047619047619048]","[0.5855879187583923, 0.9984220266342163, 0.9984375834465027, 0.9993640780448914, 0.9994540810585022, 0.9990936517715454, 0.9990058541297913, 0.9999697208404541, 0.9999873638153076, 0.9999929666519165]",License Plate,SF7533,New Zealand,0.5943120121955872,lp_train_002
3,NA,NA,NA,NA,NA,NA,NA,lp_train_003
4,"[1, 62, 2, 28]","[0.015873015873015872, 0.9841269841269841, 0.07142857142857142, 1.0]","[0.9998692274093628, 0.999233603477478, 0.9999139308929443, 0.9999198913574219, 0.9995607733726501, 0.9994763731956482, 0.9998685121536255, 0.9999933242797852, 0.9999960660934448, 0.9999969005584717]",License Plate,LT07FDJ,United Kingdom,0.9999997615814209,lp_train_004
5,NA,NA,NA,NA,NA,NA,NA,lp_train_005
6,NA,NA,NA,NA,NA,NA,NA,lp_train_006
7,"[0, 191, 0, 40]","[0.0, 1.0, 0.0, 1.0]","[0.9999805688858032, 0.9999876022338867, 0.9999818801879883, 0.9999347925186157, 0.99968421459198, 0.999811589717865, 0.9999871253967285, 0.9999982118606567, 0.999998927116394, 0.9999992847442627]",License Plate,296MJR,Estonia,0.9999983310699463,lp_train_007
8,NA,NA,NA,NA,NA,NA,NA,lp_train_008
9,"[4, 90, 1, 54]","[0.04395604395604396, 0.989010989010989, 0.018518518518518517, 1.0]","[0.9999673366546631, 0.999915361404419, 0.9999707937240601, 0.9998366832733154, 0.9998887777328491, 0.9998346567153931, 0.9998937845230103, 0.9998643398284912, 0.9999996423721313, 0.9999996423721313]",License Plate,SRKM131,Germany,1.0,lp_train_009
10,NA,NA,NA,NA,NA,NA,NA,lp_train_009
11,"[1, 136, 0, 38]","[0.007246376811594203, 0.9855072463768116, 0.0, 0.926829268292683]","[0.9995957016944885, 0.9998533725738525, 0.9982931017875671, 0.9998769760131836, 0.998967170715332, 0.9997524619102478, 0.9994663596153259, 0.9985100626945496, 0.9999698400497437, 0.9999871253967285]",License Plate,PGC1406N,Spain,0.9897094368934631,lp_train_010
