file_name,yolo_model_confidence,yolo_class_id,yolo_xy_coords,ocr_bbox,ocr_bbox_norm,ocr_confidence,ocr_label,ocr_text,ocr_region,ocr_region_confidence,vehicle,no vehicle,car,bus,truck,motorcycle,only license plate
lp_train_001,0.712917625904083,0,"[468.92291259765625, 601.2747192382812, 511.5403747558594, 625.0775146484375]","[469, 601, 511, 627]","[0.4580078125, 0.8812316715542522, 0.4990234375, 0.9193548387096774]","[0.9990648627281189, 0.35680437088012695, 0.9682151079177856, 0.8323445320129395, 0.9059573411941528, 0.44844937324523926, 0.8734337687492371, 0.9981903433799744, 0.9998630285263062, 0.9999390840530396]",License Plate,FC51JZF,United Kingdom,0.999812066555023,{'score': 0.36663195490837097},{'score': 0.2794545888900757},{'score': 0.19783970713615417},{'score': 0.08944690972566605},{'score': 0.03272198885679245},{'score': 0.028954099863767624},{'score': 0.004950732924044132}
lp_train_002,0.862055063247681,0,"[183.9119873046875, 593.5398559570312, 315.46405029296875, 651.1008911132812]","[185, 593, 312, 652]","[0.1806640625, 0.7721354166666666, 0.3046875, 0.8489583333333334]","[0.9996520280838013, 0.9987969398498535, 0.999653697013855, 0.9997438788414001, 0.9998089671134949, 0.9995819926261902, 0.9997510313987732, 0.9999876022338867, 0.9999961853027344, 0.9999957084655762]",License Plate,SF7533,New Zealand,0.9807448387146,{'score': 0.34055662155151367},{'score': 0.0554913692176342},{'score': 0.5681958198547363},{'score': 0.0037520257756114006},{'score': 0.016949689015746117},{'score': 0.0006364307482726872},{'score': 0.01441811490803957}
lp_train_003,0.778211176395416,0,"[785.8500366210938, 372.2935485839844, 876.9778442382812, 444.06488037109375]",NA,NA,NA,NA,NA,NA,NA,{'score': 0.26430463790893555},{'score': 0.060444194823503494},{'score': 0.6605685353279114},{'score': 0.0010041032219305634},{'score': 0.005772288888692856},{'score': 0.002944633597508073},{'score': 0.004961656406521797}
lp_train_004,0.511727750301361,0,"[867.6741943359375, 260.00146484375, 932.4035034179688, 291.36309814453125]","[863, 260, 935, 292]","[0.8427734375, 0.3806734992679356, 0.9130859375, 0.42752562225475843]","[0.9999790191650391, 0.9997721314430237, 0.9999268054962158, 0.9999253749847412, 0.9997147917747498, 0.9998084902763367, 0.9999467134475708, 0.9999966621398926, 0.9999979734420776, 0.9999986886978149]",License Plate,LT07FDJ,United Kingdom,0.999999165534973,{'score': 0.1614738553762436},{'score': 0.21859249472618103},{'score': 0.5338492393493652},{'score': 0.023316217586398125},{'score': 0.010762607678771019},{'score': 0.015864714980125427},{'score': 0.036140840500593185}
lp_train_005,0.804958999156952,0,"[394.16595458984375, 678.620361328125, 512.4227905273438, 722.3031005859375]","[397, 685, 508, 718]","[0.3876953125, 0.7105809128630706, 0.49609375, 0.7448132780082988]","[0.9997593760490417, 0.999966025352478, 0.999911904335022, 0.9999566078186035, 0.9999679327011108, 0.9999022483825684, 0.9999107122421265, 0.9999817609786987, 0.9999954700469971, 0.9999959468841553]",License Plate,DX07OCB,United Kingdom,0.999999523162842,{'score': 0.5654541850090027},{'score': 0.18338117003440857},{'score': 0.04308389499783516},{'score': 0.1327001303434372},{'score': 0.07058373093605042},{'score': 0.0034173736348748207},{'score': 0.001379540772177279}
lp_train_006,0.429282426834106,0,"[257.7143249511719, 590.2542114257812, 318.076416015625, 607.5944213867188]",NA,NA,NA,NA,NA,NA,NA,{'score': 0.014504894614219666},{'score': 0.004298767074942589},{'score': 0.0010011584963649511},{'score': 0.006434543989598751},{'score': 0.9734978675842285},{'score': 0.0002397003408987075},{'score': 2.315300480404403e-05}
lp_train_007,0.84696090221405,0,"[241.38681030273438, 774.4445190429688, 443.5198669433594, 832.91650390625]","[246, 781, 435, 828]","[0.3601756954612006, 0.7626953125, 0.636896046852123, 0.80859375]","[0.9999874830245972, 0.999993085861206, 0.999988317489624, 0.9999808073043823, 0.9999258518218994, 0.9999337196350098, 0.9999959468841553, 0.9999992847442627, 0.9999996423721313, 0.9999997615814209]",License Plate,296MJR,Estonia,0.999998211860657,{'score': 0.13018842041492462},{'score': 0.1082582175731659},{'score': 0.7019031047821045},{'score': 0.0006754916976206005},{'score': 0.0005575850373134017},{'score': 0.000743141514249146},{'score': 0.0576740987598896}
lp_train_008,0.603197038173676,0,"[814.0961303710938, 538.0914306640625, 920.63720703125, 639.38720703125]","[821, 543, 908, 633]","[0.8017578125, 0.702457956015524, 0.88671875, 0.8188874514877102]","[0.9999176263809204, 0.9999746084213257, 0.9999439716339111, 0.9999511241912842, 0.9999604225158691, 0.9999746084213257, 0.9999654293060303, 0.9999834299087524, 0.9999864101409912, 0.9999932050704956]",License Plate,,Unknown,0.999996542930603,{'score': 0.17247161269187927},{'score': 0.008338476531207561},{'score': 0.8140058517456055},{'score': 0.00032270478550344706},{'score': 0.0024377082008868456},{'score': 0.0009869146160781384},{'score': 0.0014367274707183242}
lp_train_009,0.368470042943954,0,"[986.4857177734375, 297.4921875, 1023.86865234375, 346.82806396484375]","[821, 329, 911, 387]","[0.8017578125, 0.4283854166666667, 0.8896484375, 0.50390625]","[0.9999784231185913, 0.9999064207077026, 0.9999685287475586, 0.9998730421066284, 0.9999009370803833, 0.9998024106025696, 0.9998648166656494, 0.9998871088027954, 0.9999996423721313, 0.9999997615814209]",License Plate,SRKM131,Germany,1,{'score': 0.39227476716041565},{'score': 0.08105523139238358},{'score': 0.47973671555519104},{'score': 0.00025435275165364146},{'score': 0.0006675392505712807},{'score': 0.0002299262268934399},{'score': 0.045781489461660385}
lp_train_010,0.826204478740692,0,"[349.14312744140625, 493.0840759277344, 482.2276916503906, 531.2216186523438]","[346, 492, 480, 529]","[0.337890625, 0.7203513909224012, 0.46875, 0.7745241581259151]","[0.9998331069946289, 0.9999053478240967, 0.997769832611084, 0.9999207258224487, 0.9993576407432556, 0.9998441934585571, 0.9994003772735596, 0.9985582232475281, 0.9999775886535645, 0.9999903440475464]",License Plate,PGC1406N,Spain,0.99045991897583,{'score': 0.5792425274848938},{'score': 0.19753459095954895},{'score': 0.0815940648317337},{'score': 0.02161821350455284},{'score': 0.0927664265036583},{'score': 0.0040273345075547695},{'score': 0.023216858506202698}
