epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0053,1.25422,4.00272,0.00714,0.83745,0.8135,0.88734,0.56583,1.31617,2.14702,0.012,0.000665158,0.000665158,0.000665158
2,146.497,1.33051,1.1897,0.00793,0.89101,0.86645,0.92559,0.5958,1.29408,0.86437,0.01125,0.00123765,0.00123765,0.00123765
3,211.637,1.34028,0.80343,0.00804,0.87731,0.87488,0.93707,0.61296,1.26682,0.6483,0.01092,0.00171585,0.00171585,0.00171585
4,275.232,1.33404,0.71099,0.00796,0.90906,0.87599,0.9461,0.61044,1.29574,0.58409,0.01145,0.00157571,0.00157571,0.00157571
5,353.694,1.29205,0.61094,0.00941,0.92407,0.88472,0.95147,0.60717,1.31115,0.54007,0.01077,0.00143429,0.00143429,0.00143429
6,419.906,1.26063,0.54831,0.00878,0.9303,0.86504,0.9384,0.62395,1.2618,0.58514,0.01109,0.00129286,0.00129286,0.00129286
7,483.012,1.23977,0.52207,0.00863,0.9398,0.91445,0.96521,0.65432,1.19064,0.47098,0.00957,0.00115143,0.00115143,0.00115143
8,549.204,1.20781,0.47746,0.00826,0.93757,0.90777,0.96553,0.6375,1.23415,0.45393,0.00976,0.00101,0.00101,0.00101
9,614.059,1.17975,0.43872,0.00801,0.95429,0.92315,0.97188,0.66565,1.15702,0.42134,0.00909,0.000868571,0.000868571,0.000868571
10,682.612,1.15107,0.42698,0.00768,0.9493,0.92127,0.97165,0.66235,1.1691,0.43005,0.00966,0.000727143,0.000727143,0.000727143
11,749.441,1.12557,0.39441,0.00748,0.96291,0.9269,0.97342,0.68066,1.12175,0.40017,0.0086,0.000585714,0.000585714,0.000585714
12,802.132,1.10384,0.38129,0.00715,0.96368,0.93263,0.97674,0.68706,1.10377,0.38377,0.00849,0.000444286,0.000444286,0.000444286
13,845.093,1.08308,0.37057,0.00699,0.959,0.93169,0.97667,0.6879,1.10467,0.37809,0.0085,0.000302857,0.000302857,0.000302857
14,888.137,1.06059,0.35862,0.00679,0.96128,0.94002,0.97776,0.69504,1.0861,0.36953,0.0082,0.000161429,0.000161429,0.000161429
