epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.251,1.9989,15.1984,0.00317,0.31431,0.20696,0.21062,0.19448,2.52059,6.12551,0.00201,0.000195854,0.000195854,0.000195854
2,345.447,2.19802,3.39616,0.00251,0.32439,0.23271,0.21822,0.19927,2.48073,2.47029,0.00188,0.000365991,0.000365991,0.000365991
3,514.247,2.17322,2.15196,0.00239,0.43353,0.23483,0.23126,0.21206,2.4223,2.09902,0.00161,0.000510257,0.000510257,0.000510257
4,675.992,2.12779,1.93786,0.00228,0.2317,0.2492,0.23752,0.21352,2.39652,1.98752,0.00168,0.000471576,0.000471576,0.000471576
5,840.74,2.07439,1.8652,0.00211,0.56928,0.26377,0.24218,0.21653,2.35788,1.87563,0.00159,0.000432768,0.000432768,0.000432768
6,1013.86,2.21079,1.97415,0.00221,0.57407,0.26127,0.24929,0.22175,2.34358,1.87524,0.00142,0.00039396,0.00039396,0.00039396
7,1172.67,2.17269,1.9283,0.00204,0.70606,0.26698,0.25934,0.22401,2.30448,1.85897,0.00141,0.000355152,0.000355152,0.000355152
8,1336.54,2.16283,1.90668,0.00201,0.70506,0.25674,0.25611,0.22456,2.31,1.86323,0.00139,0.000316344,0.000316344,0.000316344
9,1503.54,2.13939,1.91242,0.00195,0.59624,0.27205,0.26345,0.22782,2.26005,1.82984,0.0013,0.000277536,0.000277536,0.000277536
10,1670.86,2.12752,1.89394,0.00186,0.59935,0.26696,0.26859,0.23119,2.26884,1.79988,0.00131,0.000238728,0.000238728,0.000238728
11,1837.72,2.10089,1.88037,0.00178,0.61158,0.27149,0.26766,0.23057,2.23405,1.82386,0.00132,0.00019992,0.00019992,0.00019992
12,2002.76,2.07901,1.87387,0.00175,0.60384,0.27825,0.26752,0.23166,2.21419,1.80618,0.00125,0.000161112,0.000161112,0.000161112
13,2169.93,2.06715,1.86842,0.00167,0.61227,0.27366,0.27175,0.23386,2.1959,1.79454,0.00123,0.000122304,0.000122304,0.000122304
14,2334.78,2.05055,1.84966,0.00163,0.62309,0.26819,0.27065,0.23309,2.2069,1.79652,0.00124,8.3496e-05,8.3496e-05,8.3496e-05
15,2498.81,2.04137,1.85055,0.00162,0.6027,0.27546,0.27046,0.23174,2.20262,1.7936,0.00122,4.4688e-05,4.4688e-05,4.4688e-05
